
 S_max   P_max  K01    mu1    mu2    mu3    mu4 
+0.0047 0.0047 0.0263 0.0100 0.0500 0.1200 1.1667 
+0.0050 0.0050 0.0732 0.0100 0.0500 0.1200 1.2333 
+0.0054 0.0054 0.0095 0.0100 0.0500 0.1200 1.3000 
-0.1977 0.0058 0.1204 0.0100 0.0500 0.1200 1.3667 
+0.0062 0.0062 0.0697 0.0100 0.0500 0.1200 1.4333 
+0.0066 0.0066 0.0554 0.0100 0.0500 0.1200 1.5000 
-8.7483 0.0119 0.9760 0.0100 0.0500 0.1300 0.5000 
-8.9253 0.0180 0.9943 0.0100 0.0500 0.1300 0.5667 
-8.8069 0.0199 0.9827 0.0100 0.0500 0.1300 0.6333 
-8.8995 0.0228 0.9922 0.0100 0.0500 0.1300 0.7000 
-8.9365 0.0289 0.9965 0.0100 0.0500 0.1300 0.7667 
+0.0033 0.0033 0.0441 0.0100 0.0500 0.1300 0.8333 
-8.7103 0.0036 0.9714 0.0100 0.0500 0.1300 0.9000 
-8.9289 0.0430 0.9972 0.0100 0.0500 0.1300 0.9667 
+0.0043 0.0043 0.0843 0.0100 0.0500 0.1300 1.0333 
+0.0047 0.0047 0.0296 0.0100 0.0500 0.1300 1.1000 
+0.0051 0.0051 0.0664 0.0100 0.0500 0.1300 1.1667 
-0.6428 0.0054 0.1648 0.0100 0.0500 0.1300 1.2333 
+0.0059 0.0059 0.0437 0.0100 0.0500 0.1300 1.3000 
-0.0681 0.0063 0.1074 0.0100 0.0500 0.1300 1.3667 
+0.0067 0.0067 0.0417 0.0100 0.0500 0.1300 1.4333 
+0.0071 0.0071 0.0442 0.0100 0.0500 0.1300 1.5000 
-8.4605 0.0138 0.9474 0.0100 0.0500 0.1400 0.5000 
-8.4346 0.0175 0.9452 0.0100 0.0500 0.1400 0.5667 
-8.9719 0.0212 0.9993 0.0100 0.0500 0.1400 0.6333 
-8.8603 0.0237 0.9884 0.0100 0.0500 0.1400 0.7000 
-8.2221 0.0305 0.9253 0.0100 0.0500 0.1400 0.7667 
-8.8429 0.0339 0.9877 0.0100 0.0500 0.1400 0.8333 
-8.9349 0.0419 0.9977 0.0100 0.0500 0.1400 0.9000 
-3.7338 0.0042 0.4738 0.0100 0.0500 0.1400 0.9667 
+0.0046 0.0046 0.0162 0.0100 0.0500 0.1400 1.0333 
+0.0050 0.0050 0.0654 0.0100 0.0500 0.1400 1.1000 
+0.0054 0.0054 0.0185 0.0100 0.0500 0.1400 1.1667 
-8.8500 0.0059 0.9856 0.0100 0.0500 0.1400 1.2333 
-1.9741 0.0063 0.2980 0.0100 0.0500 0.1400 1.3000 
-8.9297 0.0067 0.9936 0.0100 0.0500 0.1400 1.3667 
-4.9838 0.0072 0.5991 0.0100 0.0500 0.1400 1.4333 
+0.0077 0.0077 0.0592 0.0100 0.0500 0.1400 1.5000 
-8.9565 0.0140 0.9970 0.0100 0.0500 0.1500 0.5000 
-8.8668 0.0181 0.9885 0.0100 0.0500 0.1500 0.5667 
-8.9050 0.0210 0.9926 0.0100 0.0500 0.1500 0.6333 
-5.3552 0.0259 0.6381 0.0100 0.0500 0.1500 0.7000 
-8.9547 0.0313 0.9986 0.0100 0.0500 0.1500 0.7667 
-0.5209 0.0038 0.1525 0.0100 0.0500 0.1500 0.8333 
-0.3626 0.0041 0.1367 0.0100 0.0500 0.1500 0.9000 
+0.0045 0.0045 0.0274 0.0100 0.0500 0.1500 0.9667 
+0.0049 0.0049 0.0540 0.0100 0.0500 0.1500 1.0333 
+0.0054 0.0054 0.0483 0.0100 0.0500 0.1500 1.1000 
-8.2901 0.0058 0.9296 0.0100 0.0500 0.1500 1.1667 
+0.0063 0.0063 0.0486 0.0100 0.0500 0.1500 1.2333 
-8.7838 0.0067 0.9791 0.0100 0.0500 0.1500 1.3000 
+0.0072 0.0072 0.0199 0.0100 0.0500 0.1500 1.3667 
